cluster,feature,rows,non_null,missing_rate,mean,std,min,median,max
cluster_0,Thrust.Spd,179400,175505,0.0217,27.2082,4.9023,7.6,28.03,44.6
cluster_0,Thrust.Force,179400,179109,0.0016,113745.9922,16791.1099,81695.0,113079.0,156372.67
cluster_0,CH.Spd,179400,170834,0.0477,0.9,0.0,0.9,0.9,0.9
cluster_0,CH.Torque,179400,177768,0.0091,5.1098,1.8098,0.87,4.85,11.65
cluster_0,CH.Tot.ContactForce,179400,179372,0.0002,21964.7804,1409.0752,18850.0,21765.0,26048.0
cluster_1,Thrust.Spd,344425,344425,0.0,4.0122,1.9327,1.0,3.5738,12.7541
cluster_1,Thrust.Force,344425,344425,0.0,129953.4677,3847.114,115962.5,129886.6667,142512.5
cluster_1,CH.Spd,344425,344425,0.0,0.897,0.1017,0.5333,0.848,1.2027
cluster_1,CH.Torque,344425,344425,0.0,7500.7956,3014.9407,2268.5246,6776.3934,19357.0492
cluster_1,CH.Tot.ContactForce,344425,344425,0.0,38351.4218,3900.3937,28877.625,38313.9333,45003.6
cluster_2,Thrust.Spd,33616,33616,0.0,28.5951,6.2627,9.7869,30.377,38.303
cluster_2,Thrust.Force,33616,33616,0.0,190505.1306,9098.2524,157966.6667,190340.0,218406.6667
cluster_2,CH.Spd,33616,33616,0.0,1.2339,0.19,0.712,1.2653,1.6093
cluster_2,CH.Torque,33616,33616,0.0,1059.1965,7781.0892,-10252.459,6943.7705,11513.6066
cluster_2,CH.Tot.ContactForce,33616,33616,0.0,32138.8799,1458.1432,29323.1333,32434.8,34646.7333
cluster_3,Thrust.Spd,157553,157553,0.0,8.1614,2.7522,1.3607,8.5902,16.4375
cluster_3,Thrust.Force,157553,157553,0.0,60305.7392,4113.0897,43560.0,59613.3333,79233.3333
cluster_3,CH.Spd,157553,157553,0.0,1.2938,0.124,0.4613,1.2853,1.764
cluster_3,CH.Torque,157553,157553,0.0,1268.0708,7242.8797,-9891.3115,5738.5246,11625.2459
cluster_3,CH.Tot.ContactForce,157553,157553,0.0,27710.0687,1837.0982,9804.9333,27883.4667,32298.6
cluster_4,Thrust.Spd,24878,24878,0.0,6.1926,1.1886,2.2623,6.4426,8.9672
cluster_4,Thrust.Force,24878,24878,0.0,71795.8667,2355.0465,65966.6667,72140.0,78340.0
cluster_4,CH.Spd,24878,24878,0.0,1.2645,0.0297,1.1627,1.268,1.348
cluster_4,CH.Torque,24878,24878,0.0,3438.5205,9685.4036,-14519.3443,7194.2623,15354.0984
cluster_4,CH.Tot.ContactForce,24878,24878,0.0,29163.2886,2150.3865,21097.0,29187.0667,35890.3333
cluster_5,Thrust.Spd,35473,35473,0.0,30.103,7.3707,9.2295,34.6389,39.0323
cluster_5,Thrust.Force,35473,35473,0.0,107578.3368,7591.9924,92693.3333,104992.3077,128112.5
cluster_5,CH.Spd,35473,35473,0.0,0.7512,0.0613,0.6813,0.7147,1.0813
cluster_5,CH.Torque,35473,35473,0.0,3639.4316,716.2158,2096.8852,3481.6393,5282.3529
cluster_5,CH.Tot.ContactForce,35473,35473,0.0,21377.5659,475.002,20312.6,21431.4667,22905.2667
